Route,Incident,Location,Day,Hour,Month
79,Utilized Off Route,RUNNYMEDE STATION,Thursday,15,4
59,Mechanical,WILSON GARAGE,Sunday,10,8
37,Emergency Services,WOODBINE CASINO (ENTRA,Friday,12,4
937,Mechanical,BLOOR WEST,Wednesday,16,6
134,Operations - Operator,PROGRESS AND MARKHAM,Saturday,8,8
124,Mechanical,RAAB AND HOSPITAL,Wednesday,17,3
52,Security,LAWRENCE AND CORONA,Tuesday,21,6
75,Mechanical,SHERBOURNE AND KING,Wednesday,5,7
57,Collision - TTC,MIDLAND AND HUNTINGWOO,Monday,15,8
905,Security,MORNINGSIDE AND ELLESM,Friday,15,1
512,Collision - TTC,ST.CLAIR AND KENWOOD,Monday,16,4
71,Mechanical,RUNNYMEDE AND COLBECK,Saturday,18,5
21,Operations - Operator,BRIMLEY AND STEELES,Friday,5,8
985,Vision,DON MILLS STATION,Monday,17,3
320,Security,SHUTER AND YONGE,Sunday,7,1
21,Operations - Operator,BRIMLEY AND EGLINTON,Tuesday,14,6
38,Mechanical,ELLESMERE AND MILITARY,Tuesday,12,5
902,Mechanical,MARKHAM AND STEELES,Thursday,16,1
996,Operations - Operator,HUMBER COLLEGE,Monday,12,4
38,Operations - Operator,ELLESMERE AND MARKHAM,Tuesday,16,1
953,Operations - Operator,FINCH STATION,Friday,16,3
85,Mechanical,MEADOWVALE LOOP,Monday,9,3
43,Mechanical,PROGRESS AND MIDLAND,Sunday,10,8
45,Mechanical,KIPLING STATION,Wednesday,19,4
116,Vision,MORNINGSIDE AND MORNIN,Wednesday,11,9
39,Mechanical,FINCH AND MAXOME,Monday,15,9
165,Mechanical,KEELE AND WILSON,Friday,14,1
900,Mechanical,KIPLING STATION,Thursday,16,6
9,Vision,SCARBOROUGH CENTRE STA,Tuesday,11,9
63,Cleaning - Unsanitary,1799 KING STREET,Saturday,15,3
36,Security,FINCH AND ALBION,Monday,8,6
131,Mechanical,SELWELLS AND NEILSON,Wednesday,9,7
42,Collision - TTC,MCNICOLL AND LESLIE,Wednesday,8,5
72,Collision - TTC,PAPE AND TORRENS,Tuesday,8,6
133,Operations - Operator,FINCH AND MORNINGSIDE,Friday,15,8
300,Security,KENNEDY STATION,Friday,6,2
99,Operations - Operator,ARROW DIVISION,Tuesday,12,9
929,Mechanical,QUEEN AND DUFFERIN,Sunday,12,7
95,Mechanical,YORK MILLS AND FENSIDE,Friday,22,4
131,Mechanical,NUGGET AND MCCOWAN,Monday,17,7
36,Operations - Operator,FINCH WEST STATION,Monday,14,9
53,Utilized Off Route,STEELES AND YONGE,Friday,9,3
905,Mechanical,KENNEDY STATION,Friday,8,7
86,Mechanical,KINGSTON AND SCRABOROU,Friday,23,5
122,Emergency Services,DUNCAN MILL AND DON MI,Friday,13,8
929,Mechanical,DUFFERIN GATE,Thursday,14,6
85,Mechanical,MEADOWVALE LOOP,Monday,20,2
65,Operations - Operator,PARLIAMENT AND HOWARD,Thursday,18,2
32,Operations - Operator,CALEDONIA AND EGLINTON,Tuesday,16,2
14,Emergency Services,FINCH STATION,Saturday,14,3
75,Utilized Off Route,SHERBOURNE AND QUEEN'S,Tuesday,7,1
32,Mechanical,EGLINTON AND NORTHCLIF,Tuesday,14,5
32,Mechanical,EGLINTON AND GUESTVILL,Tuesday,15,6
38,Operations - Operator,ROUGE HILL GO STATION,Friday,18,7
112,Mechanical,KIPLING STATION,Saturday,18,7
41,Operations - Operator,KEELE AND EGLINTON,Tuesday,9,7
929,Operations - Operator,DUFFERIN AND LAWRENCE,Thursday,13,8
939,Mechanical,FINCH WEST STATION,Wednesday,16,7
131,Collision - TTC,KENNEDY AND BERTRAND,Friday,7,9
53,Investigation,YONGE AND DREWRY,Monday,21,6
78,Mechanical,YORK MILLS STATION,Tuesday,16,5
52,Emergency Services,LAWRENCE AND DUPLEX,Saturday,11,6
113,Collision - TTC,DANFORTH AND VICTORIA,Wednesday,13,4
98,Operations - Operator,SHEPPARD STATION,Friday,5,2
116,Cleaning - Unsanitary,KENNEDY STATION,Wednesday,22,9
25,Emergency Services,DON MILLS AND DONWAY W,Monday,11,3
52,Operations - Operator,WESTWAY AND SASKATOON,Saturday,20,6
996,Mechanical,ELMHURST AND ISLINGTON,Friday,17,4
939,Operations - Operator,FINCH AND MIDLAND,Friday,11,6
20,Diversion,DANFORTH AND VICTORIA,Friday,5,3
63,Operations - Operator,EGLINTON WEST STATION,Saturday,9,2
8,Mechanical,ST CLAIR AND PHARMACY,Wednesday,8,9
47,Operations - Operator,YORKDALE STATION,Tuesday,14,9
88,Mechanical,ST CLAIR STATION,Thursday,7,6
984,Operations - Operator,SHEPPARD WEST STATION,Wednesday,18,1
21,Operations - Operator,KENNEDY STATION,Thursday,20,9
45,Emergency Services,KIPLING AND BEACONHILL,Wednesday,22,5
939,Collision - TTC,FINCH AND BATHURST,Friday,18,7
25,Diversion,DON MILLS STATION,Friday,21,7
104,Emergency Services,FAYWOOD AND RINEER,Sunday,13,9
32,Mechanical,EGLINTON AND MARLEE,Thursday,20,7
929,Operations - Operator,WILSON STATION,Friday,17,2
300,Security,DANFORTH AND GREENWOOD,Tuesday,5,1
67,General Delay,PHARMACY AND COMSTOCK,Wednesday,15,2
35,Mechanical,JANE AND HARDING,Friday,13,3
939,Mechanical,FINCH AND AU LARGE,Friday,15,8
960,Mechanical,WILSON AND JANE,Wednesday,13,5
34,Collision - TTC,EGLINTON AND WYNFORD,Saturday,17,6
35,Operations - Operator,PIONEER VILLAGE STATIO,Friday,17,3
925,Investigation,DON MILLS AND STEELES,Friday,15,3
953,Mechanical,STEELES AND MIDLAND,Monday,9,4
133,Road Blocked - NON-TTC Collision,ELLESMERE AND NEILSON,Monday,8,4
16,Cleaning - Unsanitary,WARDEN STATION,Thursday,1,9
38,Operations - Operator,KENNEDY STATION,Saturday,23,7
40,Mechanical,KIPLING STATION,Thursday,11,3
32,Diversion,EGLINTON AND SCARLETT,Saturday,4,1
45,Mechanical,KIPLING AND NAMCO,Monday,7,6
70,Emergency Services,COXWELL STATION,Wednesday,21,3
129,Emergency Services,SCARBOROUGH CENTRE STA,Thursday,20,6
75,Collision - TTC,SHERBOURNE AND RICHMON,Monday,16,7
35,Mechanical,PIONEER VILLAGE STATIO,Friday,18,4
25,Mechanical,DON MILLS AND THE DONW,Monday,22,5
74,Mechanical,MOUNT PLEASANT AND RAN,Friday,20,3
36,Vision,2470 FINCH WEST,Monday,13,6
960,Mechanical,STEELES AND MARTIN GRO,Tuesday,21,3
60,Utilized Off Route,FINCH STATION,Monday,22,6
29,Operations - Operator,DUFFERIN AND LAWRENCE,Thursday,18,2
32,Vision,EGLINTON STATION,Monday,14,3
985,Diversion,DON MILLS STATION,Friday,22,7
94,Utilized Off Route,OSSINGTON STATION,Tuesday,22,4
85,Collision - TTC,SHEPPARD AND BRIMELY,Friday,13,8
929,Mechanical,DUFFERIN GATE,Tuesday,16,4
985,Mechanical,MEADOWVALE LOOP,Wednesday,19,9
960,Mechanical,FINCH STATION,Tuesday,7,4
91,Operations - Operator,SWEENEY AND VICTORIA P,Friday,16,3
939,Mechanical,MCCOWAN AND SHEPPARD,Sunday,12,7
89,Mechanical,ALBION AND WESTON,Wednesday,9,5
86,Mechanical,MEADOWVALE AND SHEPPAR,Tuesday,14,4
43,Collision - TTC,EGLINTON AND KENNEDY (,Tuesday,18,8
939,Mechanical,FINCH STATION,Wednesday,21,5
86,Operations - Operator,KENNEDY STATION,Friday,14,8
85,General Delay,DON MILLS STATION,Tuesday,12,5
63,Vision,OSSINGTON STATION,Saturday,23,9
13,Collision - TTC,AVENUE AND BLOOR,Tuesday,16,6
161,Operations - Operator,ROGERS AND WESTON,Friday,12,8
38,Mechanical,ROUGH HILL GO STATION,Sunday,18,2
134,Emergency Services,PROGRESS AND ROSEBANK,Monday,18,5
47,General Delay,CALEDONIA AND ST CLAIR,Friday,17,3
968,Mechanical,WARDEN LOOP AT STEELES,Friday,8,2
98,General Delay,SHEPPARD AND LEONA,Saturday,10,1
34,Emergency Services,EGLINTON STATION,Thursday,8,2
985,Mechanical,KENNEDY AND ELLESMERE,Sunday,16,1
102,Mechanical,MARKHAM AND PROGRESS,Sunday,18,3
52,Operations - Operator,LAWRENCE WEST AND JANE,Thursday,13,7
32,Cleaning - Unsanitary,EGLINTON AND BATHURST,Sunday,15,7
83,Diversion,QUEEN AND CURZON,Thursday,19,2
56,Emergency Services,EGLINTON AND BAYVIEW,Sunday,19,7
985,Emergency Services,SHEPPARD AND MALVERN,Wednesday,8,3
12,Security,KINGSTON AND VICTORIA,Friday,16,7
995,Mechanical,SCARBOROUGH COLLEGE LO,Monday,19,3
54,Operations - Operator,LAWRENCE AND TOWNLEY,Saturday,17,8
41,Operations - Operator,KEELE AND LAWRENCE,Friday,19,5
52,Investigation,LAWRENCE WEST STATION,Friday,21,4
31,Cleaning - Unsanitary,EASTERN AND WOODFIELD,Friday,23,6
90,Operations - Operator,BATHURST STATION,Monday,19,6
47,Mechanical,LANSDOWNE AND ST CLAIR,Tuesday,17,5
165,Vision,OLD WESTON AND STEELES,Sunday,18,7
68,Mechanical,WARDEN STATION,Friday,13,7
60,Security,STEELES AND SETTLER,Thursday,8,4
89,Mechanical,WILSON GARAGE,Wednesday,5,2
35,Vision,JANE STATION,Tuesday,7,4
24,Cleaning - Unsanitary,VICTORIA PARK STATION,Tuesday,18,9
63,General Delay,QUEEN AND WORKMAN,Friday,7,7
60,Vision,FINCH STATION,Monday,12,2
134,Operations - Operator,CROW TRAIL AND BALDOON,Friday,17,6
75,Mechanical,SHERBOURNE STATION,Monday,13,6
165,Investigation,BATHURST AND WILSON,Saturday,8,4
939,Mechanical,MIDLAND AND EGLINTON,Sunday,12,4
34,Security,EGLINTON AND WARDEN,Sunday,17,7
165,Security,WILSON AND PETHERHILL,Tuesday,22,1
22,Operations - Operator,COXWELL STATION,Wednesday,21,5
79,Operations - Operator,DUNDAS AND RUNNYMEDE,Friday,15,4
36,Mechanical,FINCH AND RUMIKE,Monday,1,4
63,Collision - TTC,STRACHAN AND ORDNANCE,Friday,16,4
32,Security,EGLINTON AND RONALD,Friday,19,7
35,Collision - TTC,JANE AND STONG,Monday,14,5
32,Mechanical,JANE AND TRETHEWAY,Wednesday,9,2
76,Mechanical,ROYAL YORK STATION,Tuesday,5,8
54,Security,LAWRENCE AND BIRCHMOUN,Thursday,15,2
35,Mechanical,OLD MILL STATION,Friday,5,8
41,Cleaning - Unsanitary,DUNDAS AND KEELE,Friday,0,9
927,Mechanical,HWY 27 AND STEELES,Tuesday,7,2
123,Mechanical,NORTH QUEEN AND EASTSI,Tuesday,17,4
165,Mechanical,WESTON AND FINCH,Monday,13,1
80,Mechanical,QUEENSWAY AND KIPLING,Friday,19,2
54,Security,LAWRENCE AND MARKHAM,Wednesday,14,6
59097,Mechanical,DUFFERIN AND BLOOR,Friday,16,2
36,Mechanical,HUMBERWOOD AND TOPBANK,Monday,15,5
132,General Delay,MILNER AND PROGRESS,Thursday,18,3
939,Mechanical,FINCH AND VICTORIA PAR,Friday,15,3
71,Vision,MOUNT DENNIS GARAGE,Saturday,22,7
72,Utilized Off Route,PAPE STATION,Saturday,16,6
43,Operations - Operator,KENNEDY AND STEELES,Thursday,15,8
100,Mechanical,CONCORDE PLACE AND CON,Tuesday,12,1
112,Operations - Operator,KIPLING STATION,Tuesday,17,5
104,Cleaning - Unsanitary,WILSON STATION,Tuesday,6,5
16,Collision - TTC,DANFORTH AND EGLINTON,Saturday,6,3
34,Collision - TTC,EGLINTON AND WYNFORD,Thursday,15,4
25,Mechanical,PAPE STATION,Tuesday,11,3
59,Mechanical,LAWRENCE AND CULFORD,Saturday,11,3
905,Security,KENNEDY STATION,Tuesday,22,3
985,Mechanical,TRITON AND BRIMLEYH,Tuesday,13,6
24,Collision - TTC,VICTORIA PARK AND JANE,Tuesday,16,3
8,Operations - Operator,WARDEN STATION,Friday,16,8
70,Collision - TTC,COXWELL AND BARKER,Monday,11,7
25,Security,PAPE STATION,Monday,12,3
96,Operations - Operator,HUMBER COLLEGE AND LYN,Sunday,19,1
52,Cleaning - Unsanitary,SUNNYBROOKE HOSPITAL,Wednesday,8,9
86,Security,MEADOWVALE AND ELLESME,Sunday,22,4
52,Security,EGLINTON STATION BUS P,Saturday,22,2
927,Mechanical,HUMBER COLLEGE TERMINA,Monday,17,4
9,Vision,BIRCHMOUNT GARAGE,Wednesday,14,6
72,Mechanical,THORNCLIFFE AND OVERLE,Thursday,8,6
63,Utilized Off Route,OSSINGTON STATION,Saturday,1,4
52,Operations - Operator,LAWRENCE AND JANE,Saturday,14,5
54,Mechanical,KINGSTON AND COLLINGSG,Tuesday,20,9
51,General Delay,EGLINTON AND DUNFIELD,Tuesday,21,4
36,Collision - TTC,FINCH AND WESTON,Wednesday,9,1
36,Collision - TTC,FINCH STATION,Saturday,13,9
112,Operations - Operator,DUNDAS AND WEST MALL,Monday,13,8
54,Mechanical,LESLIE AND EGLINTON,Monday,8,1
36,Collision - TTC,FINCH WEST STATION,Tuesday,16,4
40,Mechanical,DUNDAS AND BLOOR,Saturday,18,9
25,Mechanical,DON MILLS AND OVERLEA,Friday,10,2
929,Operations - Operator,WILSON STATION,Friday,16,4
927,Collision - TTC,MARTINGROVE AND ALBION,Thursday,7,8
41,Investigation,KEELE AND JUNCTION,Friday,9,1
95,Operations - Operator,RYLANDER AND KINGSTON,Wednesday,21,8
995,Mechanical,YORK MILLS STATION,Wednesday,18,9
90,Mechanical,OAKWOOD AND VAUGHAN,Tuesday,6,3
86,Operations - Operator,TORONTO ZOO,Monday,17,5
37,Security,ISLINGTON AND FENLEY,Sunday,18,7
102,Mechanical,WARDEN STATION,Friday,11,7
84,Utilized Off Route,BEECROFT AND SHEPPARD,Sunday,17,9
64,Mechanical,EASTDALE AND GOODWOOD,Monday,15,4
985,Mechanical,KENNEDY STATION,Sunday,8,2
63,Utilized Off Route,DUFFERIN AND DUPONT,Wednesday,7,5
34,Security,EGLINTON STATION,Saturday,15,7
85,Mechanical,EAST AND MABERLEY,Wednesday,16,8
57,Mechanical,MIDLAND AND DORCOT,Friday,6,9
927,Security,THE WEST MALL AND WAUL,Wednesday,13,7
52,Mechanical,JANE AND HEATHROW,Wednesday,16,6
34,Operations - Operator,KENNEDY STATION,Monday,16,9
84,Operations - Operator,SHEPPARD YONGE STATION,Wednesday,9,1
70,Operations - Operator,O'CONNOR AND WAKUNDA,Wednesday,13,6
34,Collision - TTC,EGLINTON AND WARDEN,Friday,14,6
96,Operations - Operator,WILSON AND JANE,Saturday,13,8
39,Collision - TTC,FINCH AND YONGE,Tuesday,12,1
939,Operations - Operator,ELLESMERE AND KENNEDY,Wednesday,16,7
960,Mechanical,SIGNAL HILL AND STEELE,Saturday,16,4
47,Operations - Operator,YORKDALE STATION,Thursday,17,6
108,Operations - Operator,STEELES AND MURRAY ROS,Sunday,12,6
133,Vision,KENNEDY STATION - PLAT,Saturday,6,9
52,Security,VICTORY AND CHURCH HIL,Sunday,6,4
108,Collision - TTC,DRIFTWOD AND FINCH,Wednesday,21,8
95,Operations - Operator,YORK MILLS AND BAYVIEW,Saturday,20,1
90,Mechanical,OAKWOOD AND VAUGHN,Thursday,11,1
63,Collision - TTC,OSSINGTON AND BLOOR,Friday,20,7
32,Operations - Operator,PRADO AND ROSELAWN,Friday,16,7
122,General Delay,ROYWOOD AND FENSIDE,Monday,15,4
116,Mechanical,EGLINTON EAST AND BELL,Thursday,11,6
952,Mechanical,EGLINTON STATION,Wednesday,17,5
29,Collision - TTC,DUFFERIN AND EGLINTON,Thursday,12,9
165,Operations - Operator,YORK MILLS STATON,Friday,13,5
78,Operations - Operator,YORK MILLS STATION,Wednesday,17,1
38,Security,ELLESMERE AND MORNINGS,Tuesday,15,2
36,Emergency Services,FINCH AND ADWICK,Saturday,9,9
38,Operations - Operator,MIDLAND AND ELLESMERE,Sunday,15,7
952,Security,EGLINTON STATION,Thursday,19,7
929,Mechanical,WILSON STATION,Wednesday,13,6
75,Emergency Services,SHERBOURNE AND BLOOR,Wednesday,15,4
35,Cleaning - Unsanitary,PIONEER VILLAGE STATIO,Wednesday,5,6
986,Mechanical,MEADOWVALE LOOP,Friday,17,8
56,Security,DONLANDS STATION,Friday,17,9
929,Utilized Off Route,DUFFERIN AND LAWRENCE,Monday,13,4
36,Mechanical,HUMBERWOOD LOOP,Saturday,21,1
54,Collision - TTC,EGLINTON STATION,Saturday,13,1
37,Mechanical,STEELES AT ISLINGTON,Monday,15,4
968,Mechanical,WARDEN STATION,Monday,7,9
106,Mechanical,SENTINEL AND FINCH,Tuesday,10,7
52,Mechanical,LAWRENCE AND DUVAL,Thursday,11,7
339,Emergency Services,FINCHDENE DR AND FINCH,Friday,3,3
37,Operations - Operator,HUMBERWOOD BLVD LOOP A,Monday,22,7
32,Collision - TTC,EGLINTON AND WINNETT,Thursday,20,4
41,Diversion,OLD WESTON RD AND ST.,Monday,11,4
89,Cleaning - Unsanitary,WESTON AND WALSH,Monday,21,8
41,Vision,KEELE STATION,Wednesday,18,8
133,Mechanical,MIDLAND AND EGLINTON,Sunday,10,1
339,Operations - Operator,TAPSCOTT AND NEWGALE G,Monday,4,4
927,Mechanical,KIPLING STATION,Wednesday,14,1
300,Mechanical,BLOOR AND SOUTH KINGSW,Sunday,5,3
105,Mechanical,WILSON STATION,Friday,17,3
200,Mechanical,SHEPPARD AND KINGSTON,Monday,17,7
25,General Delay,PAPE AND COSBURN,Friday,7,5
36,Collision - TTC,FINCH AND KIPLING,Sunday,13,7
36,Mechanical,FINCH WEST STATION,Friday,10,8
112,Mechanical,GALAXY AND INTERNATION,Friday,14,9
989,Mechanical,STEELES AND SIGNET,Friday,8,3
69,Diversion,WARDEN STATION,Wednesday,20,4
46,Mechanical,KIPLING STATION,Monday,14,8
96,Collision - TTC,WILSON AND AVENUE,Wednesday,19,1
984,Cleaning - Unsanitary,SHEPPARD AND BATHRUST,Tuesday,12,5
128,Cleaning - Unsanitary,WILSON STATION,Monday,6,9
60,Collision - TTC,STEELES AND CACTUS,Wednesday,16,7
11,Mechanical,RAAB BLVD AND WELLNESS,Tuesday,18,6
24,Mechanical,VICTORIA PARK AND ELLE,Monday,14,9
96,Road Blocked - NON-TTC Collision,WILSON AND KEELE,Monday,21,8
7,Diversion,EGLINTON AND BATHURST,Sunday,5,7
64,Mechanical,MAIN STREET STATION,Wednesday,15,7
32,Mechanical,EGLINTON STATION,Friday,17,7
168,Cleaning - Unsanitary,DUNDAS WEST STATION,Thursday,12,4
102,Mechanical,DYNAMIC AND NASHDENE,Friday,7,9
54,Operations - Operator,LAWRENCE AND CANLISH,Friday,8,2
60,Mechanical,PIONEER VILLAGE STATIO,Thursday,11,1
929,Collision - TTC,DUFFERIN AND GLENCAIRN,Tuesday,21,4
45,Vision,CARLINGVIEW AND ATTWEL,Tuesday,10,3
320,Mechanical,YONGE AND AVONDALE,Friday,4,4
924,Cleaning - Unsanitary,VICTORIA PARK AND MCNI,Friday,18,6
69,General Delay,ST CLAIR ADN SANTAMONI,Friday,21,1
19,Operations - Operator,BAY AND ST JOSEPH,Thursday,13,3
64,Mechanical,MAIN AND DANFORTH,Friday,18,4
102,Operations - Operator,MARKHAM AND FINCH,Saturday,14,9
52,Mechanical,PEARSON AIRPORT,Friday,21,7
63,Mechanical,OSSINGTON STATION,Friday,19,5
100,Collision - TTC,GATEWAY AND DON MILLS,Monday,13,8
34,Operations - Operator,EGLINTON AND BRENCTLIF,Thursday,8,2
79,Road Blocked - NON-TTC Collision,RUNNYMEDE AND HENRIETT,Thursday,10,5
54,Security,LAWRENCE AND DONWAY WE,Sunday,23,6
122,Investigation,BAYVIEW AND YORK MILLS,Wednesday,8,9
86,Mechanical,KENNEDY STATION,Wednesday,22,4
86,Mechanical,MEADOWVALE AND SHEPPAR,Monday,9,1
45,Mechanical,KIPLING AND KINGSVIEW,Wednesday,10,6
927,Utilized Off Route,KIPLING STATION,Saturday,23,3
37,Mechanical,ISLINGTON STATION,Thursday,9,5
95,Operations - Operator,YORK MILLS STATION,Tuesday,20,7
984,Operations - Operator,SHEPPARD AND JANE,Thursday,21,1
320,Diversion,YONGE AND SHAFTESBURY,Friday,2,1
903,Diversion,PROGRESS AND CORPORATE,Friday,19,3
116,Mechanical,KENNEDY STATION,Tuesday,11,7
32,Mechanical,KENNEDY STATION,Sunday,3,5
129,Mechanical,SCARBOROUGH TOWN CENTR,Saturday,12,5
66,Mechanical,PARK LAWN AND GARDINER,Tuesday,6,5
73,Mechanical,ALBION AND CLAIREPORT,Tuesday,10,1
38,Emergency Services,PORT UNION AND RAVINE,Sunday,10,1
29,General Delay,DUFFERIN AND DUNDAS,Sunday,15,2
935,Operations - Operator,PIONEER VILLAGE STATIO,Thursday,5,5
25,Mechanical,DON MILLS AND STEELES,Friday,7,2
53,Cleaning - Unsanitary,FINCH STATION,Tuesday,7,9
41,Mechanical,KEELE AND YPRES,Monday,13,1
47,Operations - Operator,YORKDALE STATION,Monday,19,4
927,Cleaning - Unsanitary,HUMBER COLLEGE TERMINA,Monday,8,7
52,General Delay,WRIGHT AND JANE,Thursday,21,2
168,Mechanical,AVON LOOP,Wednesday,18,3
20,Investigation,DANFORTH AND VICTORIA,Saturday,21,7
37,Mechanical,ISLINGTON AND SUMMITCR,Friday,14,4
47,Mechanical,LANSDOWNE AND LAPPIN,Friday,8,8
52,Operations - Operator,JETLINER AND AIRPORT,Sunday,16,3
935,Operations - Operator,DUNDAS AND JANE,Wednesday,13,5
91,Mechanical,WOODBINE STATION,Saturday,13,1
35,Vision,PIONEER VILLAGE STATIO,Tuesday,5,2
133,Mechanical,KENNEDY STATION,Monday,5,7
25,Mechanical,DON MILLS AND STEELES,Thursday,0,3
19,Investigation,DAVENPORT AND DUPONT,Thursday,19,6
17,Vision,BIRCHMOUNT AND STEELES,Friday,7,3
95,Mechanical,ELLESMERE AND MCCOWAN,Tuesday,19,7
24,Mechanical,VICTORIA PARK AND ST C,Wednesday,15,1
39,Utilized Off Route,FINCH STATION,Tuesday,7,1
102,Operations - Operator,MARKHAM AND PROGRESS,Monday,13,6
43,Mechanical,KENNEDY STATION,Monday,9,9
35,Emergency Services,JANE STATION,Friday,1,3
35,Operations - Operator,PIONEER VILLAGE STATIO,Saturday,13,4
960,Operations - Operator,STEELES AND ISLINGTON,Friday,15,5
94,Collision - TTC,WELLESLEY STATION,Thursday,16,5
96,Vision,PIONEER VILLAGE STATIO,Friday,10,9
36,Mechanical,FINCH WEST STATION,Tuesday,16,3
7,Collision - TTC,BATHURST AND MARKDALE,Monday,6,8
100,Security,BROADVIEW AND O'CONNOR,Monday,10,1
903,Mechanical,MIDLAND AND ELLESMERE,Saturday,15,2
102,Mechanical,WARDEN STATION,Thursday,11,1
903,Security,BRIMLEY AND ELLESMERE,Monday,18,3
7,Operations - Operator,BATHURST AND WILSON,Friday,17,2
7,Diversion,BATHURST AND CARIBOU,Saturday,23,4
32,Operations - Operator,RENFORTH STATION,Wednesday,6,7
53,Mechanical,STEELES AND MARKHAM,Tuesday,15,8
25,Operations - Operator,BROADVIEW STATION,Wednesday,17,7
86,Mechanical,KENNEDY STATION,Saturday,14,1
97,Operations - Operator,DAVISVILLE AND YONGE,Friday,17,7
95,Emergency Services,ELLESMERE AND MORNINGS,Tuesday,17,2
300,Cleaning - Unsanitary,BLOOR AND INDIAN,Saturday,2,1
85,Security,SHEPPARD AND VICTORIA,Tuesday,21,7
53,General Delay,FINCH STATION,Tuesday,13,6
48,Vision,QUEENSWAY GARAGE,Wednesday,6,4
86,Operations - Operator,KENNEDY STATION,Saturday,18,8
929,Mechanical,DUFFERIN AND GLENCAIRN,Wednesday,11,6
53,Security,FINCH STATION,Thursday,1,3
24,Mechanical,DANFORTH AND DANFORTH,Sunday,8,8
927,Operations - Operator,WATERBURY AND CLARION,Wednesday,6,6
116,General Delay,MORNINGSIDE AND ELLESM,Saturday,15,6
984,Collision - TTC,SHEPPARD AND EASTON,Friday,15,1
985,Mechanical,DON MILLS STATION,Tuesday,17,5
944,Mechanical,COLONEL SAMUEL SMITH L,Monday,7,4
9,Collision - TTC,WARDEN STATION,Monday,15,6
95,Mechanical,SHEPPARD AND KINGSTON,Monday,21,6
133,Mechanical,ELLESMERE AND MARKHAM,Wednesday,8,7
43,Emergency Services,KENNEDY AND PROGRESS,Thursday,10,5
52,Vision,LAWRENCE AND JANE,Sunday,21,8
165,Operations - Operator,WESTON AND FINCH,Saturday,12,7
32,Operations - Operator,EGLINTON WEST STATION,Monday,6,6
7,Mechanical,BATHURST AND ALLINGHAM,Monday,10,5
11,Collision - TTC,EGLINTON AND JONESVILL,Tuesday,15,9
39,Emergency Services,FINCH AND PINEWAY,Thursday,17,2
102,Mechanical,MARKHAM AND SHEPPARD,Thursday,19,2
900,General Delay,KIPLING STATION,Saturday,16,5
35,Mechanical,OLD MILL STATION,Friday,16,8
29,Mechanical,BILLY BISHOP AND DUFFE,Wednesday,16,6
24,Mechanical,VICTORIA PARK AND DEAN,Thursday,22,5
63,Mechanical,OSSINGTON STATION,Saturday,9,6
68,Operations - Operator,WARDEN STATION,Thursday,9,3
70,Security,O'CONNOR AND BERMONDSE,Tuesday,13,6
71,Mechanical,RUNNNYMEDE AND DUNDAS,Thursday,14,6
41,General Delay,KEELE AND TILBURY,Sunday,17,8
52,Mechanical,EGLINTON STATION,Friday,14,9
64,Emergency Services,BROADVIEW AND MORTIMER,Thursday,6,9
35,Diversion,PIONEER VILLAGE STATIO,Tuesday,18,3
905,Operations - Operator,MALVERN GARAGE,Monday,7,7
47,Utilized Off Route,EARLSCOURT LOOP,Wednesday,5,4
54,Mechanical,EGLINTON AND DUNFIELD,Friday,16,4
53,Operations - Operator,FINCH STATION,Monday,18,6
24,Mechanical,VICTORIA PARK STATION,Monday,9,1
41,Operations - Operator,KEELE STATION,Tuesday,20,3
168,Security,RODGERS AND FORBES,Monday,13,1
61,Vision,WILSON GARAGE,Friday,6,7
29,Emergency Services,DUFFERIN AND WATERLOO,Monday,11,2
116,Emergency Services,GUILDWOOD AND KINGSTON,Wednesday,22,1
39,Mechanical,FINCH AND KENNEDY,Monday,23,9
35,Operations - Operator,JANE AND ST CLAIR,Tuesday,19,6
939,Mechanical,FINCH AND DON MILLS,Friday,9,2
902,Mechanical,MARKHAM AND LAWRENCE,Wednesday,15,1
19,Utilized Off Route,DAVENPORT AND DUPONT,Tuesday,19,3
7,Security,BATHURST AND SHEPPARD,Sunday,13,8
35,Security,JANE AND EXBURY / PION,Friday,19,9
52,Emergency Services,MORNING STAR AND GOREW,Wednesday,20,8
7,Security,BATHURST AND BARTON,Thursday,22,4
41,Emergency Services,KEELE STATION,Saturday,1,6
63,Security,OSSIGNTON AND DUPONT,Friday,22,4
32,Security,JANE AND LAWRENCE,Saturday,21,7
59,Mechanical,EGLINTON WEST STATION,Wednesday,17,5
9,Security,BELLAMY AND ELLESMERE,Friday,13,5
67,Emergency Services,PHARMACY AND DEWEY,Sunday,11,3
39,Mechanical,FINCH AND NEILSON,Monday,16,7
985,Collision - TTC,DON MILLS STATION,Tuesday,13,1
32,Vision,EGLINTON AND HEDDINGTO,Friday,10,8
90,Mechanical,BATHURST AND BLOOR,Monday,21,2
102,Mechanical,MARKHAM AND ELLESMERE,Wednesday,12,8
45,Mechanical,KIPLING STATION,Friday,12,5
24,Emergency Services,VICTORIA PARK AND STEE,Friday,20,4
960,Operations - Operator,STEELES AND MARTIN GRO,Monday,19,4
960,Collision - TTC,STEELES AND CONLEY,Thursday,7,6
53,Mechanical,MIDDLEFIELD AND STEELE,Thursday,7,6
34,General Delay,KENNEDY STATION,Wednesday,22,3
64,Operations - Operator,COSBURN AND LINSMORE,Wednesday,19,5
