,Route,Incident,Location,Day,Hour,Month
17397,985,Mechanical,SHEPPARD EAST AND MARK,Tuesday,7,5
19956,96,Collision - TTC,WILSON AND TRANSIT,Sunday,9,6
31956,95,Collision - TTC,PARKWOOD VILLAGE AND V,Thursday,9,9
6457,8,Mechanical,ST CLAIR AND O'CONNOR,Saturday,9,2
14609,985,Security,SCARBOROUGH TOWN CENTE,Monday,21,4
25460,7,Investigation,GREENWIN VILLAGE AND B,Tuesday,11,7
25395,320,Investigation,YONGE AND EGLINTON,Tuesday,2,7
29236,925,Mechanical,BROADVIEW STATION,Wednesday,19,8
835,105,Mechanical,SHEPPARD WEST STATION,Sunday,9,1
6972,133,Mechanical,ELLESMERE AND BRIMLEY,Wednesday,15,2
1196,960,General Delay,WILSON GARAGE,Wednesday,6,1
1575,89,General Delay,ALBION AND WESTON,Friday,20,1
33769,54,Mechanical,LAWRENCE AND WEST HILL,Thursday,10,9
4780,16,Operations - Operator,DANFORTH AND EGLINTON,Friday,13,2
22504,29,Vision,DUFFERIN AND LAWRENCE,Tuesday,18,6
20177,134,Mechanical,TAPSCOTT AND CROW TRAI,Tuesday,7,6
8753,927,Operations - Operator,MARTIN GROVE AND ALBIO,Thursday,9,3
27963,29,Mechanical,DUFFERIN AND EGLINTON,Sunday,12,8
33822,960,Emergency Services,STEELES AND FUTURITY G,Thursday,17,9
34337,73,Mechanical,LA ROSE AND SCARLETT,Monday,17,9
32599,64,Emergency Services,COSBORN AND GREENWOOD,Tuesday,13,9
16926,37,General Delay,ISLINGTON AND REXDALE,Thursday,19,5
8267,32,Mechanical,EGLINTON STATION,Sunday,11,3
13447,64,Mechanical,LUMSDEN AND BARRINGTON,Sunday,11,4
17193,31,Cleaning - Unsanitary,COXWELL STATION,Saturday,17,5
27391,53,Operations - Operator,YONGE AND HOMEWOOD,Wednesday,16,7
24689,985,Mechanical,SCAROBOROUGH CENTRE ST,Thursday,14,7
22815,927,Operations - Operator,MARTIN GROVE AND STEEL,Thursday,0,6
6229,905,Mechanical,EGLINTON AND MARKHAM,Thursday,13,2
13853,102,General Delay,ST CLAIR AND BIRCHMOUN,Wednesday,18,4
13313,960,Mechanical,STEELES AND YONGE,Friday,23,4
16927,54,Mechanical,EGLINTON AND LAIRD,Thursday,19,5
19896,60,Operations - Operator,PIONEER VILLAGE STATIO,Saturday,16,6
21771,116,Mechanical,MORNINSIDE AND FINCH,Thursday,18,6
19978,935,Security,PIONEER VILLAGE STATIO,Sunday,15,6
19635,985,Mechanical,DON MILS STATION,Thursday,17,6
18810,35,Cleaning - Unsanitary,LAWRENCE AND JANE,Friday,15,5
16737,902,Mechanical,WARDEN STATION,Wednesday,8,5
11848,19,Mechanical,DAVENPORT AND AVENUE,Tuesday,4,4
27440,39,Operations - Operator,FINCH AND KENNEDY,Wednesday,21,7
5938,25,Operations - Operator,DON MILLS STATION,Monday,11,2
28028,165,Mechanical,WILSON STATION,Sunday,21,8
2287,927,Collision - TTC,AUCKLAND AND DUNDAS,Thursday,22,1
25989,929,Operations - Operator,DUFFERIN AND LAWRENCE,Saturday,13,7
29278,119,Mechanical,WILSON STATION,Thursday,6,8
30120,65,Security,CASTLE FRANK STATION,Wednesday,16,8
20830,56,Investigation,EGLINTON AND LAIRD,Saturday,13,6
5564,87,Investigation,MAIN AND DONCASTER,Thursday,22,2
5681,87,Operations - Operator,COSBURN AND COXWELL,Friday,18,2
3832,75,Mechanical,SOUTH AND GLEN,Wednesday,18,1
19203,29,Vision,WILSON STATION,Monday,21,6
11645,133,Mechanical,KENNEDY STATION,Sunday,8,4
12402,85,Operations - Operator,MARKHAM GATE AND SHEPP,Friday,18,4
30748,61,Mechanical,BOMBAY LOOP,Tuesday,8,8
15158,111,Mechanical,THE EAST MALL AND YARN,Friday,21,5
25783,935,Mechanical,JANE AND BLOOR,Thursday,17,7
6282,20,Mechanical,MAIN STREET STATION,Thursday,18,2
31389,29,Mechanical,DUFFERIN AND DAVENPORT,Saturday,6,8
16261,13,Security,EGLINTON STATION,Sunday,8,5
19233,945,Operations - Operator,MOUND DENNIS GARAGE,Tuesday,5,6
14447,73,Operations - Operator,ROYAL YORK STATION,Sunday,15,4
14172,43,Operations - Operator,KENNEDY AND BELLBROOK,Friday,15,4
4963,935,Utilized Off Route,JANE STATION,Sunday,12,2
26771,902,Emergency Services,KINGSTON AND PARK CRES,Friday,15,7
27189,108,Mechanical,SHEPPARD WEST STATION,Tuesday,7,7
30524,7,Operations - Operator,BATHURST STATION,Saturday,19,8
16149,17,Operations - Operator,BIRCHMOUNT AND LAWRENC,Saturday,12,5
2202,29,Diversion,DUFFERIN AND BLOOR,Thursday,11,1
5483,17,Collision - TTC,BIRCHMOUNT AND RANSTON,Thursday,14,2
17394,36,Operations - Operator,HUMBERWOOD LOOP,Tuesday,7,5
6679,60,Vision,CUMMER AND YONGE,Monday,8,2
32482,12,Security,KINGSTON AND MIDLAND,Monday,16,9
6195,32,Vision,EGLINTON STATION,Thursday,6,2
10406,44,Utilized Off Route,KIPLING STATION,Wednesday,17,3
16015,43,Mechanical,KENNEDY STATION,Friday,11,5
15753,109,Operations - Operator,LAWRENCE WEST STATION,Wednesday,10,5
25907,86,Operations - Operator,KENNEDY STATION,Friday,18,7
19728,63,Mechanical,EGLINTON WEST STATION,Friday,9,6
19931,52,Operations - Operator,CARLINGVIEW AND DIXON,Saturday,21,6
14989,46,Mechanical,KIPLING STATION,Thursday,15,5
7952,94,Mechanical,CASTLE FRANK STATION,Thursday,17,3
7805,86,Mechanical,EGLINTON AND MARKHAM,Wednesday,12,3
11336,63,Collision - TTC,EGLINTON AND OAKWOOD,Thursday,15,4
25705,36,Security,FINCH AND WARDEN,Thursday,4,7
476,40,Mechanical,DUNDAS AND ANNETTE,Thursday,16,1
11443,927,Vision,KIPLING AND FINCH AVE,Friday,11,4
27443,52,Security,WESTWOOD SQUARE BUS TE,Wednesday,21,7
33465,72,Mechanical,THORNCLIFFE PARK AND O,Tuesday,8,9
14637,32,Mechanical,EGLINTON STATION,Tuesday,7,4
5873,133,Mechanical,MORNINGSIDE AND FINCH,Sunday,14,2
29013,300,Cleaning - Unsanitary,BLOOR WEST AND SHAVER,Tuesday,3,8
483,43,Mechanical,MIDLAND AND STEELES,Thursday,17,1
34192,202,Diversion,BAY AND FRONT,Sunday,14,9
24378,72,Operations - Operator,MILLWOOD AND OVERLEA,Tuesday,15,7
29666,11,Operations - Operator,DAVISVILLE STATION,Saturday,18,8
25466,168,Mechanical,OLD WESTON AND ROGERS,Tuesday,12,7
34188,35,Mechanical,OLD MILL STATION,Sunday,13,9
24669,96,Utilized Off Route,KEELE AND WILSON,Thursday,12,7
8795,96,Mechanical,WILSON AND JANE,Thursday,15,3
19962,41,Cleaning - Unsanitary,KEELE AND GLENLAKE,Sunday,10,6
26760,41,Mechanical,KEELE AND LAWRENCE,Friday,14,7
2842,90,Security,BATHURST STATION,Tuesday,20,1
9118,36,Collision - TTC,FINCH AND DUFFERIN,Saturday,18,3
23424,36,Collision - TTC,FINCH AND ROMFIELD,Wednesday,13,7
14841,903,Mechanical,SCARBOROUGH CENTRE STA,Wednesday,17,5
5947,71,Vision,DUNDAS AND RUNNYMEDE,Monday,14,2
17283,116,Security,EGLINTON AND MARKHAM,Sunday,22,5
4117,47,Cleaning - Unsanitary,YORKDALE MALL,Saturday,12,2
27425,89,Mechanical,WESTON ROAD,Wednesday,18,7
32221,20,Mechanical,MIDLAND AND PARK,Saturday,10,9
15132,43,Operations - Operator,KENNEDY AND TROJAN GAT,Friday,17,5
6133,60,Operations - Operator,EGLINTON STATION,Wednesday,15,2
5848,129,Mechanical,KENNEDY STATION,Sunday,7,2
9611,102,Vision,MARKHAM AND SHEPPARD,Thursday,16,3
11942,12,Operations - Operator,BRIMLEY AND ST CLAIR,Tuesday,17,4
11773,82,Mechanical,DOUGLAS AND GELN,Monday,13,4
24818,929,Security,DUFFERIN AND EGLINTON,Friday,13,7
14400,60,Collision - TTC,YONGE AND RICHMOND,Sunday,8,4
6142,89,Mechanical,WESTON AND WALSH,Wednesday,15,2
20440,96,Security,HUMBER COLLEGE LOOP,Wednesday,23,6
19561,86,Mechanical,KENNEDY STATION,Thursday,6,6
5708,121,Investigation,FRONT AND BAY,Friday,1,2
8627,38,Cleaning - Unsanitary,KENNEDY STATION,Wednesday,11,3
34401,72,Mechanical,PAPE AND LIPTON,Tuesday,8,9
10027,32,Mechanical,EGLINTON STATION,Monday,7,3
28838,21,Mechanical,BRIMELY AND FRASERTON,Sunday,17,8
19499,68,Mechanical,ELLESMERE AND KENNEDY,Wednesday,18,6
10088,34,Investigation,EGLINTON AND THERMOS,Monday,15,3
32401,927,Mechanical,STEELES LOOP W OF MART,Monday,5,9
33075,25,Collision - TTC,DON MILLS AND WYNFORD,Friday,19,9
14343,94,Operations - Operator,AVENUE AND BLOOR,Saturday,16,4
889,96,Operations - Operator,WILSON AND JANE,Sunday,21,1
26456,108,Mechanical,SHEPPARD WEST STATION,Wednesday,12,7
4173,45,Mechanical,KIPLING STATION,Saturday,19,2
29492,7,Mechanical,BATHURST AND BAYCREST,Friday,18,8
25209,905,Emergency Services,UNIVERSITY OF TORONTO,Sunday,18,7
1406,91,Security,WOODBINE STATION,Thursday,18,1
15424,35,Operations - Operator,JANE AND EGLINTON,Monday,10,5
9004,37,Mechanical,WOODBINE RACETRACK LOO,Friday,22,3
19560,86,Mechanical,KENNEDY STATION,Thursday,6,6
24788,72,Mechanical,THORNCLIFFE AND OVERLE,Friday,10,7
13315,24,Vision,VICTORIA PARKA AND CRE,Friday,0,4
12385,985,Operations - Operator,KENNEDY STATION,Friday,16,4
12433,8,Mechanical,WARDEN STATION,Saturday,6,4
31869,96,Operations - Operator,ELMHURST AND ALBION,Wednesday,16,9
6586,985,Collision - TTC,DON MILLS STATION,Sunday,12,2
25768,60,Mechanical,YONGE AND STEELES,Thursday,15,7
10393,35,Utilized Off Route,JANE STATION,Wednesday,16,3
1379,21,Vision,EGLINTON AND MIDLAND,Thursday,15,1
20819,92,Mechanical,WOODBINE BEACH,Saturday,11,6
22920,42,Mechanical,MCNICOLL AND KENNEDY,Friday,21,6
24300,900,Mechanical,KIPLING STATION,Tuesday,9,7
6426,52,Security,DIXON RD AND ISLINGTON,Friday,22,2
30045,38,General Delay,ASHTONBEE AND WARDEN,Tuesday,19,8
32024,36,Mechanical,MILVAN AND PENN,Thursday,20,9
11733,165,Operations - Operator,WESTON AND FINCH,Monday,7,4
26189,38,Mechanical,PORT UNION AND LAWRENC,Monday,11,7
10392,38,Emergency Services,ELLESMERE AND MCCOWAN,Wednesday,16,3
29866,32,Operations - Operator,EGLINTON AND NORTHCLIF,Monday,15,8
4560,118,Operations - Operator,WILSON AND KEELE,Wednesday,17,2
18620,7,Mechanical,BATHURST AND FINCH WES,Thursday,10,5
9231,45,Mechanical,KIPLING AND STEELES LO,Monday,7,3
34659,37,Emergency Services,REXDALE AND KIPLING,Thursday,11,9
21079,925,Operations - Operator,DON MILLS AND FRESHMEA,Monday,13,6
6120,11,Operations - Operator,DAVISVILLE AND MOUNT P,Wednesday,12,2
4466,161,Utilized Off Route,ALLIANCE AND DALRYMPLE,Tuesday,20,2
5470,29,Mechanical,WILSON STATION,Thursday,13,2
14774,905,Operations - Operator,KENNEDY STATION,Wednesday,8,5
3120,36,Mechanical,FINCH AND NORFINCH,Thursday,15,1
16572,47,Vision,LANSDOWNE AND ST CLAIR,Monday,23,5
34145,960,Security,FINCH STATION,Saturday,22,9
29602,935,Mechanical,SHEPPARD AND JANE,Saturday,13,8
25229,165,Utilized Off Route,WILSON AND YONGE,Sunday,21,7
9047,47,Operations - Operator,YORKDALE STATION,Saturday,11,3
34783,952,Operations - Operator,PEARSON AIRPORT,Friday,13,9
20148,135,Emergency Services,WARDEN STATION,Monday,0,6
18025,43,Operations - Operator,KENNEDY AND EGLINTON,Saturday,19,5
15726,165,Mechanical,ALBION AND WESTON,Wednesday,8,5
31702,105,Mechanical,WILLISAM R ALLEN AND R,Tuesday,6,9
30623,17,Cleaning - Unsanitary,WARDEN STATION,Monday,5,8
20157,84,Mechanical,SHEPPARD AND BEECROFT,Tuesday,5,6
33441,36,Mechanical,FINCH STATION,Monday,0,9
10934,900,Operations - Operator,PEARSON AIRPORT TERMIN,Monday,19,4
831,300,Mechanical,DUNDAS WEST STATION,Sunday,7,1
30083,134,Operations - Operator,SCARBOROUGH CENTRE STA,Wednesday,8,8
31885,45,Security,KIPLING AND DIXON,Wednesday,17,9
28759,52,Investigation,LAWRENCE WEST STATION,Saturday,20,8
6267,960,Vision,PIONEER VILLAGE STATIO,Thursday,17,2
16598,12,Operations - Operator,EGLINTON EAST AND SOUT,Tuesday,7,5
19216,7,Security,BATHURST AND GREENWIN,Monday,23,6
15879,95,Mechanical,YORK MILLS STATION,Thursday,8,5
25392,51,Vision,EGLINTON STATION,Monday,0,7
29368,89,Collision - TTC,KEELE AND DUNDAS,Thursday,18,8
571,133,Mechanical,SCARBOROUGH CENTER STA,Friday,11,1
7777,82,Security,ROSEDALE STATION,Wednesday,9,3
12378,76,Mechanical,ROYAL YORK AND BLOOR,Friday,16,4
12925,44,Mechanical,COLONEL SAMUEL LOOP,Wednesday,5,4
27730,53,Collision - TTC,STEELES AND MCCOWAN,Friday,15,8
7558,160,Operations - Operator,ST CLAIR AND BIRCHMOUN,Monday,14,3
25062,75,Operations - Operator,BIRCHMOUNT GARAGE,Saturday,18,7
33264,54,Mechanical,EGLINTON STATION,Sunday,16,9
28798,960,Mechanical,PIONEER VILLAGE STATIO,Sunday,10,8
11775,94,Security,OSSINGTON STATION,Monday,14,4
26081,133,Security,ELLESMERE AND PARKINGT,Sunday,10,7
34750,72,Emergency Services,PAPE STATION,Friday,6,9
19294,85,Mechanical,SHEPPARD EAST AND MASS,Tuesday,13,6
23727,939,Emergency Services,TRITON AND BRIMLEY,Friday,14,7
1587,118,General Delay,JANE AND WILSON,Friday,21,1
17227,90,Mechanical,DUFFERIN AND APEX,Sunday,8,5
17864,929,Emergency Services,DUFFERIN AND DUFFERIN,Friday,14,5
33559,56,Utilized Off Route,EGLINTON STATION,Tuesday,17,9
21332,32,Mechanical,EGLINTON AND ISLINGTON,Tuesday,15,6
4298,72,Operations - Operator,PAPE STATION,Monday,12,2
9865,60,Operations - Operator,PIONEER VILLAGE,Saturday,8,3
5258,11,Mechanical,DAVISVILLE STATION,Tuesday,16,2
3567,70,Operations - Operator,VICTORIA PARK AND EGLI,Monday,14,1
35059,54,Operations - Operator,LAWRENCE EAST AND PHAR,Sunday,15,9
24794,996,Operations - Operator,WESTON AND WALSH,Friday,10,7
18693,129,Security,KENNEDY STATION,Thursday,22,5
34286,25,Collision - TTC,BROADVIEW AND COSBURN,Monday,10,9
4251,85,Operations - Operator,SHEPPARD AND SCUNTHORP,Sunday,19,2
25711,53,Mechanical,FINCH STATION,Thursday,5,7
19311,102,Mechanical,MARKHAM AND BRIMORTON,Tuesday,15,6
9621,37,Mechanical,ISLINGTON AND ALBION,Thursday,16,3
13265,96,Operations - Operator,CARRIER LOOP,Friday,17,4
32366,26,Operations - Operator,RUNNYMEDE STATION,Sunday,15,9
25380,63,Security,EGLINTON WEST STATION,Monday,19,7
711,24,Mechanical,VICTORIA PARK STATION,Saturday,10,1
15928,122,Collision - TTC,ROYWOOD AND FENSIDE,Thursday,14,5
19432,32,Investigation,DUFFERIN AND EGLINTON,Wednesday,10,6
3492,20,Mechanical,BIRCHMOUNT AND HIGHVIE,Sunday,17,1
16615,902,Mechanical,WARDEN STATION - 902 P,Tuesday,9,5
11537,165,General Delay,BATHURST AND WILSON,Saturday,6,4
24932,39,Vision,MORNINGSIDE AND NIGHTS,Saturday,6,7
25052,29,Operations - Operator,DUFFERIN AND CLAVER,Saturday,17,7
7887,96,Emergency Services,YORK MILLS STATION,Thursday,7,3
28169,25,Emergency Services,DON MILLS AND GOODVIEW,Tuesday,12,8
8809,937,Utilized Off Route,ISLINGTON STATION,Thursday,16,3
32786,905,Vision,EGLINTON AND DANFORTH,Wednesday,22,9
11140,996,Mechanical,YORK MILLS AND SILVERD,Wednesday,13,4
17798,53,Mechanical,STEELES AND MARYDALE,Thursday,0,5
4361,134,Emergency Services,FINCHDENE SQUARE AND F,Monday,21,2
21362,89,Mechanical,WESTON AND EGLINTON,Tuesday,17,6
6749,67,Diversion,PHARMACY AND DEWEY,Monday,18,2
66,74,Operations - Operator,YONGE AND STEELES,Tuesday,4,1
34272,7,Security,BATHURST STATION,Monday,8,9
19373,95,Operations - Operator,ELLESMERE AND NEILSON,Tuesday,20,6
19665,905,Mechanical,MORNINGSIDE AND ELLESM,Thursday,22,6
25559,52,Utilized Off Route,LAWRENCE WEST STATION,Tuesday,19,7
32667,29,Utilized Off Route,WILSON STATION,Tuesday,23,9
18249,95,Mechanical,RYLANDER AND KINGSTON,Monday,18,5
25329,96,Mechanical,WILSON STATION,Monday,14,7
22693,34,Operations - Operator,EGLINTON STATION,Thursday,4,6
23494,25,Security,BROADVIEW STATION,Wednesday,23,7
10660,165,Vision,WILSON AND RIDLEY,Saturday,9,3
21335,168,Mechanical,DUNDAS WEST STATION,Tuesday,16,6
16865,41,Cleaning - Unsanitary,PIONEER VILLAGE STATIO,Thursday,11,5
6108,132,General Delay,NEILSON AND MILNER,Wednesday,11,2
19960,86,Cleaning - Unsanitary,KINGSTON AND SCARBOROU,Sunday,10,6
18754,995,Mechanical,YORK MILLS STATION,Friday,9,5
8477,88,Investigation,ST. CLAIR STATION,Tuesday,7,3
8326,36,Security,HUMBERWOOD LOOP,Sunday,0,3
35205,45,Operations - Operator,KIPLING STATION,Monday,17,9
25865,935,Mechanical,TRETHEWAY AND MILLEIUM,Friday,14,7
22938,71,Emergency Services,RUNNYMEDE STATION,Friday,1,6
3047,320,Emergency Services,QUEENS QUAY AND YONGE,Thursday,3,1
24955,38,Emergency Services,ELLESMERE AND MILITARY,Saturday,9,7
14076,25,Emergency Services,OVERLEA AND THRONCLIFF,Friday,7,4
6045,29,Mechanical,QUEEN AND DUFFERIN,Tuesday,18,2
18486,87,Emergency Services,BROADVIEW STATION,Wednesday,16,5
34263,127,Mechanical,TOWNSLEY LOOP,Monday,7,9
30979,53,Security,FINCH STATION,Wednesday,18,8
31070,63,Mechanical,OSSINGTON AND CHURCHIL,Thursday,11,8
1571,47,General Delay,CALEDONIA AND EGLINTON,Friday,20,1
17483,29,Operations - Operator,WILSON STATION,Tuesday,17,5
18941,23,Operations - Operator,FERRIS AND DAWES,Saturday,11,6
4716,95,Mechanical,YORK MILLS STATION,Thursday,21,2
13795,37,Mechanical,STEELES LOOP,Wednesday,9,4
12081,984,Utilized Off Route,SHEPPARD AND RIVALDA,Wednesday,17,4
1252,52,Cleaning - Unsanitary,DIXON AND ISLINGTON,Wednesday,16,1
26778,85,Cleaning - Unsanitary,ROUGE HILL GO STATION,Friday,16,7
19022,47,Vision,EARLSCOURT LOOP,Saturday,21,6
13457,102,Operations - Operator,MARKHAM AND SHEPPARD,Sunday,13,4
25948,86,Cleaning - Unsanitary,MEADOWVALE LOOP,Saturday,5,7
14150,121,General Delay,FRONT AND BAY,Friday,13,4
32748,102,Collision - TTC,MARKHAM AND MILNER,Wednesday,17,9
24861,29,Vision,DUFFERIN STATION,Friday,17,7
17853,960,Operations - Operator,PIONEER VILLAGE STATIO,Friday,13,5
15930,7,Mechanical,BATHURST AND VESTA,Thursday,15,5
35045,34,Security,KENNEDY STATION,Sunday,11,9
10032,53,Mechanical,FINCH STATION,Monday,8,3
21997,102,Security,WARDEN AND ST CLAIR,Saturday,13,6
2862,72,Mechanical,FRONT AND BAY,Tuesday,0,1
10999,126,Mechanical,ST CLAIR STATION,Tuesday,12,4
11416,135,Mechanical,WARDEN AND DANFORTH,Friday,7,4
27052,320,Emergency Services,BAY AND FRONT,Monday,2,7
1490,924,Mechanical,VICTORIA PARK AND PARK,Friday,14,1
33704,71,Mechanical,TRETHEWEY AND TODD BAY,Wednesday,19,9
25895,47,Security,CALEDONIA AND PLAYFAIR,Friday,17,7
12460,29,Mechanical,DUFFERIN AND LAWRENCE,Saturday,10,4
34113,116,Collision - TTC,MORNINGSIDE AND MILITA,Saturday,17,9
1408,16,Mechanical,MCCOWAN AND LAWRENCE,Thursday,18,1
17294,900,Cleaning - Unsanitary,PEARSON AIRPORT TERMIN,Monday,7,5
21929,95,Operations - Operator,YORK MILLS STATION,Friday,20,6
33568,960,Operations - Operator,FINCH STAION,Tuesday,18,9
9021,168,Operations - Operator,DUNDAS WEST STATION,Saturday,5,3
9808,73,Operations - Operator,ROYAL YORK STATION,Friday,19,3
10838,71,Cleaning - Unsanitary,MOUNT DENNIS GARAGE,Sunday,18,3
13872,69,Diversion,WARDEN STATION,Wednesday,20,4
6977,161,Operations - Operator,ROGERS AND KEELE,Wednesday,16,2
21913,86,Operations - Operator,CORONATION AND WALLSEN,Friday,17,6
930,905,Collision - TTC,MORNINGSIDE AND ELLESM,Monday,9,1
11681,52,Mechanical,MARTIN GROOVE AND TOLL,Sunday,16,4
6253,989,Operations - Operator,SIGNET AND STEELES,Thursday,16,2
28776,34,Cleaning - Unsanitary,EGLINTON STATION,Saturday,1,8
23852,32,Operations - Operator,EGLINTON STATION,Saturday,11,7
13330,110,Mechanical,ISLINGTON STATION,Saturday,7,4
25807,11,Collision - TTC,DAVISVILLE STATION,Thursday,22,7
5039,92,Mechanical,WOODBINE STATION,Monday,8,2
742,36,Mechanical,FINCH AND BATHURST,Saturday,14,1
5803,36,Mechanical,HUMBER COLLEGE AND HUM,Saturday,17,2
16636,14,Mechanical,DAVISVILLE STATION,Tuesday,13,5
2805,84,Mechanical,SHEPPARD AND BATHURST,Tuesday,17,1
30334,52,Operations - Operator,SUNNYBROOK HOSPITAL,Friday,13,8
15029,36,Collision - TTC,FINCH AND ARROW,Thursday,20,5
25458,47,General Delay,CALENDONIA AND GLENGRO,Tuesday,11,7
5837,116,Utilized Off Route,KENNEDY STATION,Saturday,0,2
19040,339,Security,NEWGALE GATE AND TAPSC,Sunday,5,6
2305,36,Mechanical,FINCH WEST STATION,Friday,6,1
15509,64,Operations - Operator,HAMBLEY AND QUEEN,Monday,21,5
7757,107,Mechanical,WILSON STATION,Wednesday,5,3
29280,68,Mechanical,WARDEN STATION,Thursday,6,8
11030,116,Operations - Operator,NEILSON AND MORNINGSID,Tuesday,16,4
8889,25,Mechanical,DON MILLS STATION,Friday,7,3
19156,53,Mechanical,STEELES EAST AND DAIR,Monday,15,6
18182,905,General Delay,EGLNTON EAST AND DANFO,Monday,10,5
9674,41,Mechanical,KEELE STATION,Friday,6,3
25742,36,Collision - TTC,FINCH AND DUFFERIN,Thursday,11,7
23441,25,Mechanical,DON MILLS AND YORK MIL,Wednesday,14,7
17381,36,Emergency Services,WOODBINE RACETRACK LOO,Tuesday,6,5
25061,53,Operations - Operator,STEELES AND MARKHAM,Saturday,18,7
22295,47,Mechanical,MACDONELL AND QUEEN,Monday,15,6
8970,32,Operations - Operator,EGLINTON AND MARLEE,Friday,17,3
11686,84,Operations - Operator,BRADSTOCK AND WESTON,Sunday,17,4
6320,986,Mechanical,EGLINTON AND MASON,Friday,6,2
3507,54,Mechanical,EGLINTON AND LAIRD,Sunday,20,1
6204,945,Mechanical,KIPLING AND THE WESTWA,Thursday,7,2
33026,53,Collision - TTC,STEELES AND LESLIE,Friday,14,9
7774,72,Collision - TTC,CARLAW AND QUEEN,Wednesday,8,3
13110,84,Mechanical,WESTON AND BRADSTOCK,Thursday,14,4
11602,85,Utilized Off Route,SHEPPARD AND VICTORIA,Saturday,18,4
6812,927,Mechanical,EAST MALL AND BURNHAMT,Tuesday,14,2
2820,20,Mechanical,KENNEDY STATION,Tuesday,18,1
21177,51,Operations - Operator,EGLINTON AND BAYVIEW,Monday,21,6
24662,110,Utilized Off Route,ISLINGTON STATIN,Thursday,12,7
22957,85,Mechanical,SHEPPARD AND MARKHAM,Saturday,8,6
3458,43,Mechanical,MCNICOLL GARAGE,Sunday,5,1
3644,937,Utilized Off Route,ISLINGTON STATION,Tuesday,7,1
13719,165,Mechanical,YORK MILLS STATION,Tuesday,20,4
13150,38,Mechanical,KENNEDY STATION,Thursday,20,4
26021,20,Mechanical,MAIN STREET STATION,Saturday,17,7
12222,929,Mechanical,WILSON STATION,Thursday,14,4
1921,29,Cleaning - Unsanitary,WILSON STATION,Monday,21,1
14036,24,Mechanical,VICTORIA PARK AND STEE,Thursday,21,4
4543,39,Operations - Operator,FINCH AND WILFRED,Wednesday,16,2
23066,320,Operations - Operator,FINCH STATION,Sunday,2,6
25963,89,Mechanical,KEELE STATION,Saturday,9,7
31994,903,Vision,CENTENNIAL COLLEGE BUS,Thursday,15,9
30280,57,Vision,MIDLAND AND STEELES,Thursday,0,8
26517,32,Mechanical,EGLINTON AND DUFFERIN,Wednesday,17,7
10161,32,Mechanical,EGLINTON AND DUFFERIN,Tuesday,6,3
31648,29,Emergency Services,KING AND SPENCER,Monday,12,9
26204,7,Mechanical,BATHURST AND LAWRENCE,Monday,13,7
16193,75,Security,SHERBOURNE AND GERRARD,Saturday,16,5
3103,90,Vision,BATHURST STATION,Thursday,12,1
13320,35,Operations - Operator,PETER KAISER AND STEEL,Saturday,4,4
4385,171,Collision - TTC,TRETHEWEY AND JANE,Tuesday,8,2
18211,7,Emergency Services,BATHURST AND SHEPPARD,Monday,12,5
33934,133,Operations - Operator,NEILSON AND SHEPPARD,Friday,14,9
25198,29,Mechanical,WILSON STATION,Sunday,16,7
9023,7,Cleaning - Unsanitary,GREENWIN VILLAGE AND B,Saturday,6,3
23262,85,Cleaning - Unsanitary,MARKHAM AND SHEPPARD E,Tuesday,11,7
10894,75,Operations - Operator,SHERBOURNE AND BLOOR,Monday,13,4
8505,54,Vision,LAWRENCE AND UNDERHILL,Tuesday,12,3
4101,116,Emergency Services,LAWRENCE AND MORNINGSI,Saturday,10,2
12089,63,Diversion,OAKWOOD AND ROGERS,Wednesday,19,4
28304,129,Mechanical,MIDLAND AND EGLINTON,Wednesday,14,8
7189,35,Utilized Off Route,DUNDAS AND JANE,Friday,6,3
17791,165,Security,WILSON AND JANE,Thursday,22,5
17361,84,Mechanical,SHEPPARD WEST STATION,Monday,23,5
139,25,Mechanical,PAPE AND SAMMON,Tuesday,14,1
7668,929,Mechanical,WILSON STATION,Tuesday,12,3
32155,102,Security,MARKHAM AND LAWRENCE,Friday,19,9
27827,11,Operations - Operator,BAYVIEW AND NEWTON,Saturday,10,8
2054,25,Mechanical,DON MILLS STATION,Wednesday,6,1
20415,37,Mechanical,ISLINGTON AND ISLINGTO,Wednesday,18,6
21184,96,Mechanical,HUMBERLINE LOOP,Monday,22,6
16801,41,Operations - Operator,EGLINTON AND BLACK CRE,Wednesday,19,5
892,131,Mechanical,KENNEDY AND MUNHAM,Sunday,22,1
34125,91,General Delay,LAWRENCE AND CARNFORTH,Saturday,19,9
6427,52,Security,DIXON AND ISLINGTON,Friday,23,2
7931,129,Operations - Operator,KENNEDY STATION,Thursday,14,3
6281,86,Operations - Operator,KENNEDY STATION,Thursday,18,2
28695,52,Investigation,LAWRENCE AND DE MARCO,Saturday,11,8
33930,29,Mechanical,WILSON STATION,Friday,13,9
16753,75,Emergency Services,LOWER JARVIS AND QUEEN,Wednesday,11,5
3527,112,Mechanical,EGLINTON AND COMMERCE,Monday,6,1
33978,985,Operations - Operator,SHEPPARD AND ALLANFORD,Friday,18,9
23465,63,Utilized Off Route,DUFFERIN AND LIBERTY,Wednesday,16,7
19656,96,Operations - Operator,YORK MILLS STATION,Thursday,19,6
21071,82,Collision - TTC,CRESCENT AND ROSEDALE,Monday,12,6
27636,65,Investigation,PARLIAMENT AND OAK,Thursday,21,8
